"STATE","DISTRICT","0-2 HP","2-4 HP","4-6 HP","6-8 HP","8-10 HP","ABOVE 10 HP","NO LIFTING DEVICE","TOTAL"
"RAJASTHAN","GANGANAGAR",0,0,0,0,0,12,0,12
"RAJASTHAN","HANUMANGARH",1,0,15,0,2062,1204,0,3282
"RAJASTHAN","JAIPUR",32627,104,9784,1098,38988,27252,24,109877
"RAJASTHAN","JAISALMER",1,0,1,0,9,87,17,115
"RAJASTHAN","JALORE",11493,23,4074,158,16886,18707,23,51364
"RAJASTHAN","JHALAWAR",3215,14022,48032,1870,1588,599,1437,70763
"RAJASTHAN","JHUNJHUNU",2886,6,491,1111,4177,35293,0,43964
"RAJASTHAN","JODHPUR",4749,6,428,99,798,1445,0,7525
"RAJASTHAN","KAROLI",7707,5,2525,927,9425,7197,3,27789
"RAJASTHAN","KOTA",1735,2153,6012,233,497,439,6,11075
"RAJASTHAN","NAGAUR",9547,17,608,744,2173,17522,1,30612
"RAJASTHAN","PALI",12687,72,8846,716,20599,4896,191,48007
"RAJASTHAN","RAJSAMAND",15868,2778,14608,295,4140,612,15990,54291
"RAJASTHAN","SAWAI MADHOPUR",3051,14,2184,517,15478,10644,10,31898
"RAJASTHAN","SIKAR",5214,53,1974,138,10930,30391,25,48725
"RAJASTHAN","SIROHI",1243,29,7296,159,9293,1988,17,20025
"RAJASTHAN","TONK",9951,674,14787,1665,20893,3763,242,51975
"RAJASTHAN","UDAIPUR",9720,10551,20820,513,5482,1450,13135,61671
"TAMIL NADU","COIMBATORE",4934,509,69601,21439,702,5886,46,103117
"TAMIL NADU","CUDDALORE",11,185,5465,749,148,1292,0,7850
"TAMIL NADU","DHARMAPURI",49,2551,66462,5939,4765,215,386,80367
"TAMIL NADU","DINDIGUL",2268,16155,69758,4521,549,1621,183,95055
"TAMIL NADU","ERODE",10,3302,99627,12693,2373,3367,476,121848
"TAMIL NADU","KANCHEEPURAM",72,38684,13933,2371,84,582,2,55728
"TAMIL NADU","KANYAKUMARI",28,405,998,84,1,58,0,1574
"TAMIL NADU","KARUR",75,2687,36611,1137,598,275,61,41444
"TAMIL NADU","KRISHNAGIRI",51,2559,38747,3516,631,289,149,45942
"TAMIL NADU","MADURAI",6457,38984,8873,135,12,45,39,54545
"TAMIL NADU","NAGAPATTINAM",300,3654,213,70,1,11,0,4249
"TAMIL NADU","NAMAKKAL",16,1083,63397,1257,2,94,36,65885
