"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL/ANIMAL","OTHERS","TOTAL"
"ODISHA","MAYURBHANJA",170,7,2,0,0,275,454
"ODISHA","NAWARANGAPUR",26,9,0,0,4,10,49
"ODISHA","NAYAGARH",6,3,0,0,1,1,11
"ODISHA","NUAPADA",13,0,0,0,0,6,19
"ODISHA","PURI",37,15,0,0,8,43,103
"ODISHA","RAYAGADA",10,3,0,0,3,11,27
"ODISHA","SAMBALPUR",39,2,0,0,2,7,50
"ODISHA","SONEPUR",1,1,0,0,3,0,5
"ODISHA","SUNDARGARH",78,5,0,0,5,30,118
"PUDUCHERRY","PUDUCHERRY",1988,2,0,0,0,0,1990
"PUNJAB","AMRITSER",2555,4,0,0,0,0,2559
"PUNJAB","BARNALA",25324,1093,6,0,0,0,26423
"PUNJAB","BATHINDA",4960,592,0,0,0,1,5553
"PUNJAB","FARIDKOT",2299,179,0,0,0,0,2478
"PUNJAB","FATEHGARH SAHIB",421,11,0,0,0,0,432
"PUNJAB","FEROZEPUR",13596,42,0,0,0,0,13638
"PUNJAB","GURDASPUR",2460,18,0,0,0,0,2478
"PUNJAB","HOSHIARPUR",19137,1290,3,0,0,245,20675
"PUNJAB","JALANDHAR",30109,208,0,0,0,2,30319
"PUNJAB","KAPURTHALA",2370,213,0,0,0,1,2584
"PUNJAB","LUDHIANA",27517,804,0,0,0,0,28321
"PUNJAB","MANSA",3735,860,0,0,0,0,4595
"PUNJAB","MOGA",41712,163,1,0,0,4,41880
"PUNJAB","MOHALI",2563,23,0,0,0,0,2586
"PUNJAB","MUKATSAR",27,193,0,0,0,0,220
"PUNJAB","NAWANSHAHAR",8529,724,0,0,0,0,9253
"PUNJAB","PATIALA",9034,48,0,0,0,0,9082
"PUNJAB","ROPAR",562,77,0,0,0,0,639
"PUNJAB","SANGRUR",97282,4078,0,0,0,0,101360
"PUNJAB","TARN TARAN",11247,1,0,0,0,0,11248
"RAJASTHAN","AJMER",336,10,0,0,0,133,479
"RAJASTHAN","ALWAR",6409,3119,0,0,2,95,9625
"RAJASTHAN","BANSWARA",328,33,0,0,0,19,380
"RAJASTHAN","BARAN",9475,8306,12,0,0,813,18606
"RAJASTHAN","BARMER",3061,9,0,0,2,170,3242
"RAJASTHAN","BHARATPUR",5229,3390,0,0,4,56,8679
"RAJASTHAN","BHILWARA",1233,79,1,0,0,67,1380
"RAJASTHAN","BIKANER",8238,12,0,0,0,106,8356
"RAJASTHAN","BUNDI",2183,2381,0,0,17,558,5139
"RAJASTHAN","CHITTORGARH",13665,631,6,0,16,387,14705
"RAJASTHAN","CHURU",3295,6,0,0,0,85,3386
"RAJASTHAN","DAUSA",2613,715,0,0,7,69,3404
"RAJASTHAN","DHOLPUR",637,489,0,0,12,12,1150
"RAJASTHAN","DUNGARPUR",215,26,0,0,0,0,241
"RAJASTHAN","HANUMANGARH",6,19,0,0,0,0,25
"RAJASTHAN","JAIPUR",12341,92,0,0,0,498,12931
"RAJASTHAN","JAISALMER",2249,4,0,0,0,30,2283
"RAJASTHAN","JALORE",6495,319,1,0,0,286,7101
"RAJASTHAN","JHALAWAR",2567,1125,0,0,0,43,3735
"RAJASTHAN","JHUNJHUNU",1169,38,0,0,0,15,1222
"RAJASTHAN","JODHPUR",21258,54,0,0,0,1004,22316
"RAJASTHAN","KAROLI",4169,401,0,2,0,106,4678
"RAJASTHAN","KOTA",6120,4895,3,0,10,1645,12673
"RAJASTHAN","NAGAUR",13172,15,0,0,0,491,13678
"RAJASTHAN","PALI",1319,42,0,0,0,169,1530
"RAJASTHAN","RAJSAMAND",290,17,0,0,7,74,388
"RAJASTHAN","SAWAI MADHOPUR",1936,1867,0,1,2,113,3919
"RAJASTHAN","SIKAR",8580,105,0,0,0,168,8853
"RAJASTHAN","SIROHI",131,11,0,0,0,18,160
"RAJASTHAN","TONK",144,288,0,0,0,78,510
"RAJASTHAN","UDAIPUR",1160,25,0,0,8,105,1298
"TAMIL NADU","COIMBATORE",15114,197,2,8,6,3330,18657
"TAMIL NADU","CUDDALORE",23423,302,5,10,1,7,23748
"TAMIL NADU","DHARMAPURI",134,54,0,0,0,0,188
"TAMIL NADU","DINDIGUL",2376,33,12,0,0,12,2433
"TAMIL NADU","ERODE",8521,1278,13,1,13,447,10273
"TAMIL NADU","KANCHEEPURAM",2918,40,1,0,0,0,2959
"TAMIL NADU","KANYAKUMARI",322,17,0,0,1,2,342
"TAMIL NADU","KARUR",2128,112,1,0,0,232,2473
"TAMIL NADU","KRISHNAGIRI",4257,537,5,1,10,25,4835
"TAMIL NADU","MADURAI",404,84,0,0,0,18,506
"TAMIL NADU","NAGAPATTINAM",2826,122,0,0,0,12,2960
"TAMIL NADU","NAMAKKAL",4229,13,6,3,5,50,4306
"TAMIL NADU","NILGIRIS",0,1,0,0,0,0,1
"TAMIL NADU","PERAMBALUR",3271,522,2,3,1,92,3891
"TAMIL NADU","PUDUKKOTTAI",8882,124,4,41,59,32,9142
"TAMIL NADU","RAMANATHAPURAM",1411,13,0,0,4,16,1444
