"STATE","DISTRICT","OPEN WATER CHANNEL (LINED/PUCCA) - NUMBER","OPEN WATER CHANNEL (LINED/PUCCA) - POTENTIAL UTILISED","OPEN WATER CHANNEL (UNLINED/KUTCHA) - NUMBER","OPEN WATER CHANNEL (UNLINED/KUTCHA) - POTENTIAL UTILISED","UNDERGROUND PIPE - NUMBER","UNDERGROUND PIPE - POTENTIAL UTILISED","SURFACE PIPE - NUMBER","SURFACE PIPE - POTENTIAL UTILISED","DRIP - NUMBER","DRIP - POTENTIAL UTILISED","SPRINKLE - NUMBER","SPRINKLE - POTENTIAL UTILISED","OTHER - NUMBER","OTHER - POTENTIAL UTILISED","TOTAL - NUMBER","TOTAL - POTENTIAL UTILISED"
"JHARKHAND","EAST SINGHBHUM",1,0,70,176.43,2,8.09,1,0.3,0,0,2,0,0,0,76,184.82
"JHARKHAND","GARHWA",7,17.1,9,28.7,1,0,12,10,0,0,0,0,0,0,29,55.8
"JHARKHAND","GIRIDIH",3,1.11,5,1.85,0,0,0,0,0,0,0,0,0,0,8,2.96
"JHARKHAND","GODDA",0,0,11,160,0,0,0,0,0,0,0,0,0,0,11,160
"JHARKHAND","GUMLA",3,0,9,0,0,0,0,0,0,0,0,0,0,0,12,0
"JHARKHAND","HAZARIBAGH",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"JHARKHAND","JAMTARA",0,0,3,4.9,0,0,0,0,0,0,0,0,0,0,3,4.9
"JHARKHAND","KHUNTI",0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,1,1.5
"JHARKHAND","KODERMA",1,1,1,2.3,0,0,0,0,0,0,0,0,0,0,2,3.3
"JHARKHAND","LATEHAR",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"JHARKHAND","LOHARDAGA",1,0,1,0.28,0,0,0,0,0,0,0,0,0,0,2,0.28
"JHARKHAND","PAKUR",4,5,90,6,4,8.5,0,0,0,0,0,0,3,1.6,101,21.1
"JHARKHAND","PALAMU",0,0,14,23.4,0,0,0,0,1,2,0,0,0,0,15,25.4
"JHARKHAND","RANCHI",3,2.5,9,2,0,0,2,1,0,0,0,0,1,0,15,5.5
"JHARKHAND","SAHEBGANJ",0,0,108,129.8,0,0,0,0,0,0,0,0,0,0,108,129.8
"JHARKHAND","SARAIKELA",0,0,1,0,0,0,0,0,0,0,0,0,1,0.7,2,0.7
"JHARKHAND","SIMDEGA",1,2.65,3,2.05,4,7,0,0,0,0,0,0,0,0,8,11.7
"KERALA","ERANAKULAM",0,0,0,0,1,0.7,2,0.48,0,0,1,0.4,1,2.02,5,3.6
"KERALA","IDDUKKI",0,0,0,0,29,82.8,227,291.41,17,23.41,36,61.48,28,27.05,337,486.15
"KERALA","KANNUR",0,0,0,0,0,0,34,136.29,0,0,11,10.06,0,0,45,146.35
"KERALA","KASARAGODE",0,0,0,0,29,55.25,29,45.6,0,0,0,0,0,0,58,100.85
"KERALA","KOZHIKODE",0,0,0,0,0,0,2,0.3,0,0,0,0,1,0.5,3,0.8
"KERALA","MALAPPURAM",2,1.4,21,15.76,1,2.29,15,9.5,0,0,0,0,0,0,39,28.95
"KERALA","PALAKKAD",109,384.46,217,407.65,9,8.42,55,78.38,1,0.8,0,0,0,0,391,879.71
"KERALA","PATHANAMTHITTA",0,0,1,0.4,10,8.54,2,1.9,0,0,0,0,0,0,13,10.84
"KERALA","THIRUVANANTHAPURAM",0,0,0,0,0,0,2,3.63,0,0,0,0,0,0,2,3.63
"KERALA","THRISSUR",34,46.46,44,17.91,17,17.33,34,22.01,0,0,10,12.66,1,0,140,116.37
"KERALA","WAYANAD",0,0,11,17.01,5,9.18,1,2.5,0,0,0,0,0,0,17,28.69
"MADHYA PRADESH","ANUPPUR",13,9.35,14,47.41,0,0,122,203.08,4,5.17,0,0,0,0,153,265.01
"MADHYA PRADESH","Ashok Nagar",0,0,62,330.31,15,105.34,2860,13998.85,1,3.43,0,0,51,97.65,2989,14535.58
"MADHYA PRADESH","BALAGHAT",0,0,26,74.55,0,0,3,15.14,0,0,0,0,2,0,31,89.69
"MADHYA PRADESH","BARWANI",57,153.66,2422,5669.21,1173,3531.23,183,554.52,1,4.5,19,54.65,0,0,3855,9967.77
"MADHYA PRADESH","BETUL",31,56.47,2348,5094.42,244,605.44,976,1837.9,0,0,16,20,26,0,3641,7614.23
"MADHYA PRADESH","BHIND",20,165,369,2504,10,45,3111,22033.84,0,0,1,6,61,117.74,3572,24871.58
"MADHYA PRADESH","BHOPAL",14,40.85,0,0,30,68.9,120,363.45,0,0,0,0,0,0,164,473.2
"MADHYA PRADESH","BURHANPUR",35,50.72,534,1381.38,118,251.31,22,55.6,32,48.02,0,0,0,0,741,1787.03
"MADHYA PRADESH","CHHATARPUR",1,4.75,9,66.4,1,3.88,2,26,0,0,0,0,0,0,13,101.03
