"STATE","DISTRICT","ELECTRIC PUMPS","DIESEL PUMPS","WIND MILLS","SOLAR PUMPS","MANUAL / ANIMAL","OTHERS","TOTAL"
"TAMIL NADU","DINDIGUL",86320,5045,142,27,183,3338,95055
"TAMIL NADU","ERODE",98595,16310,70,22,476,6375,121848
"TAMIL NADU","KANCHEEPURAM",52905,2570,58,11,2,182,55728
"TAMIL NADU","KANYAKUMARI",1489,74,0,0,0,11,1574
"TAMIL NADU","KARUR",34062,2968,62,3,61,4288,41444
"TAMIL NADU","KRISHNAGIRI",33872,11021,41,14,149,845,45942
"TAMIL NADU","MADURAI",46672,1338,17,1,39,6478,54545
"TAMIL NADU","NAGAPATTINAM",3727,437,1,2,0,82,4249
"TAMIL NADU","NAMAKKAL",63915,840,10,17,36,1067,65885
"TAMIL NADU","NILGIRIS",560,323,0,0,2,15,900
"TAMIL NADU","PERAMBALUR",35998,6999,73,17,113,2052,45252
"TAMIL NADU","PUDUKKOTTAI",25959,2172,30,40,2521,1155,31877
"TAMIL NADU","RAMANATHAPURAM",2992,1132,4,0,216,64,4408
"TAMIL NADU","SALEM",90494,8882,23,19,293,3980,103691
"TAMIL NADU","SIVAGANGA",13904,2585,127,8,170,3898,20692
"TAMIL NADU","THANJAVUR",1233,375,0,0,1,222,1831
"TAMIL NADU","THENI",25282,161,21,2,1,308,25775
"TAMIL NADU","THIRUVALLUR",11500,282,10,1,1,455,12249
"TAMIL NADU","THIRUVARUR",333,80,0,0,0,2,415
"TAMIL NADU","TIRUCHIRAPPALLI",63181,2705,54,34,84,7418,73476
"TAMIL NADU","TIRUNELVELI",67075,6322,508,21,113,13175,87214
"TAMIL NADU","TIRUVANNAMALAI",158620,6664,417,48,1059,3141,169949
"TAMIL NADU","TUTICORIN DISTRICT",19207,1867,39,1,82,4409,25605
"TAMIL NADU","VELLORE",97953,5246,354,88,647,9926,114214
"TAMIL NADU","VILLUPPURAM",141371,12135,29,12,24,2120,155691
"TAMIL NADU","VIRUDHUNAGAR",25587,2014,33,14,240,10485,38373
"TRIPURA","DHALAI",0,0,0,0,1,1,2
"TRIPURA","SOUTH TRIPURA",12,12,0,0,46,69,139
"TRIPURA","WEST TRIPURA",10,3,0,0,0,9,22
"UTTAR PRADESH","AGRA",204,409,0,0,0,914,1527
"UTTAR PRADESH","ALLAHABAD",147,2586,7,0,1,315,3056
"UTTAR PRADESH","AMBEDAKAR NAGAR",18,1,0,0,0,96,115
"UTTAR PRADESH","AZAMGARH",0,0,0,0,0,9,9
"UTTAR PRADESH","BAGHPAT",1,0,0,0,0,68,69
"UTTAR PRADESH","BALLIA",13,135,0,0,0,567,715
"UTTAR PRADESH","BALRAMPUR",0,13,0,0,0,90,103
"UTTAR PRADESH","BANDA",39,1219,2,0,0,251,1511
"UTTAR PRADESH","BARABANKI",0,157,1,0,0,280,438
"UTTAR PRADESH","BAREILLY",0,0,0,0,0,7,7
"UTTAR PRADESH","BASTI",7,30,0,0,1,4,42
"UTTAR PRADESH","CHANDAULI",79,216,0,0,0,497,792
"UTTAR PRADESH","CHITRAKOOT",386,2946,0,2,0,643,3977
"UTTAR PRADESH","DEORIA",1,26,0,0,0,0,27
"UTTAR PRADESH","FAIZABAD",0,206,0,0,0,99,305
